"Protein","Missing_Rate_Percent"
"A4GALT",95.9731543624161
"A4GNT",94.6308724832215
"AATK",75.1677852348993
"ABCA2",81.8791946308725
"ABCA9",83.2214765100671
"ABCC11",78.5234899328859
"ABCC2",73.8255033557047
"ABCC5",95.9731543624161
"ABCC8",84.5637583892617
"ABCC9",83.2214765100671
"ABCG2",69.7986577181208
"ABHD13",51.006711409396
"ABHD17A",83.8926174496644
"ABHD18",91.9463087248322
"ABHD3",56.3758389261745
"ABO",63.0872483221477
"ABTB1",61.744966442953
"AC007906.2",93.9597315436242
"AC011005.1",85.2348993288591
"AC011195.3",95.9731543624161
"AC073111.4",52.3489932885906
"AC099489.1",62.4161073825503
"ACBD4",69.1275167785235
"ACBD7",71.8120805369127
"ACD",75.1677852348993
"ACHE",95.9731543624161
"ACKR1",89.261744966443
"ACOT4",79.1946308724832
"ACOT6",71.1409395973154
"ACSM5",90.6040268456376
"ACSM6",62.4161073825503
"ACTA2",55.7046979865772
"ACTG2",69.1275167785235
"ACTL6B",95.9731543624161
"ACTL8",89.9328859060403
"ACVRL1",70.4697986577181
"ADAM12",74.496644295302
"ADAMTS1",66.4429530201342
"ADAMTS13",79.1946308724832
"ADAMTS16",85.9060402684564
"ADAMTS8",93.9597315436242
"ADAT2",52.3489932885906
"ADCK2",73.8255033557047
"ADCK5",68.4563758389262
"ADCY5",85.2348993288591
"ADCY7",84.5637583892617
"ADGRA3",77.8523489932886
"ADGRB3",95.9731543624161
"ADGRD1",95.9731543624161
"ADGRE3",88.5906040268456
"ADGRF1",66.4429530201342
"ADGRG2",55.7046979865772
"ADGRG3",71.1409395973154
"ADGRG5",95.9731543624161
"ADGRG7",82.5503355704698
"ADGRL3",62.4161073825503
"ADGRL4",51.6778523489933
"ADGRV1",92.6174496644295
"ADHFE1",73.8255033557047
"ADIPOR1",77.8523489932886
"ADIPOR2",92.6174496644295
"ADM",91.9463087248322
"AEBP2",87.248322147651
"AFAP1L1",70.4697986577181
"AGGF1",73.1543624161074
"AGO4",76.510067114094
"AGPAT4",51.006711409396
"AHI1",88.5906040268456
"AJUBA",53.0201342281879
"AK5",75.1677852348993
"AKAP5",72.4832214765101
"AKIP1",95.9731543624161
"AKR1C4",72.4832214765101
"AL022312.1",55.7046979865772
"ALDOA",64.4295302013423
"ALKBH2",85.2348993288591
"ALKBH6",89.261744966443
"ALKBH7",53.0201342281879
"ALPG",73.8255033557047
"ALPI",59.0604026845638
"ALPK1",52.3489932885906
"ALPK2",88.5906040268456
"ALPK3",51.006711409396
"ALPP",81.8791946308725
"ALS2CL",57.7181208053691
"AMER1",67.7852348993289
"AMFR",53.0201342281879
"AMIGO2",78.5234899328859
"AMOT",55.7046979865772
"AMPD1",91.9463087248322
"ANAPC11",79.8657718120805
"ANAPC15",81.2080536912752
