"Principal_Component","Variance_Explained_Percent"
"PC1",33.4134945799044
"PC2",7.24134085133523
"PC3",6.14560574170749
"PC4",3.62337325005054
"PC5",3.08037894626844
"PC6",2.68042366800907
"PC7",2.16288016134344
"PC8",1.73634135420485
"PC9",1.64723812783198
"PC10",1.40887439806174
"PC11",1.08512077016515
"PC12",1.0339389415253
"PC13",1.02314116167143
"PC14",0.961824832155973
"PC15",0.854119508059847
"PC16",0.824891222350929
"PC17",0.732635933419217
"PC18",0.699725173834091
"PC19",0.676327737417378
"PC20",0.660958347394029
"PC21",0.637250601224832
"PC22",0.623441109744594
"PC23",0.594370594440468
"PC24",0.565179283390585
"PC25",0.561248576991931
"PC26",0.54390995212879
"PC27",0.539083126176215
"PC28",0.522058707393149
"PC29",0.508808294714528
"PC30",0.492606146052154
"PC31",0.483040152851216
"PC32",0.468110144442639
"PC33",0.46152375204831
"PC34",0.437123742505997
"PC35",0.432130835406702
"PC36",0.421397796808864
"PC37",0.408997090192639
"PC38",0.397738339052189
"PC39",0.389573093185521
"PC40",0.383733592024328
"PC41",0.38031871036492
"PC42",0.365986823311107
"PC43",0.357911176368854
"PC44",0.353724749346589
"PC45",0.350190918231736
"PC46",0.341648480633807
"PC47",0.331075403789843
"PC48",0.324339388981463
"PC49",0.321281173114167
"PC50",0.314388412545724
"PC51",0.308796551608207
"PC52",0.299925569226266
"PC53",0.295893219483288
"PC54",0.295135669962711
"PC55",0.283017805934311
"PC56",0.277455193196533
"PC57",0.272010388229199
"PC58",0.267913556368576
"PC59",0.267243570708994
"PC60",0.261469530694675
"PC61",0.253996207945922
"PC62",0.251995160526415
"PC63",0.249799823329366
"PC64",0.245958424822849
"PC65",0.238477863659315
"PC66",0.237773828962906
"PC67",0.234153357209921
"PC68",0.233291846768478
"PC69",0.227623038628523
"PC70",0.224303305323865
"PC71",0.220785808281324
"PC72",0.217467787604523
"PC73",0.208962878167496
"PC74",0.207448339703269
"PC75",0.20614849235184
"PC76",0.204111571604281
"PC77",0.199862478625991
"PC78",0.196053281286536
"PC79",0.193958336569008
"PC80",0.189262492085954
"PC81",0.182881312673298
"PC82",0.180563333186441
"PC83",0.175937321674418
"PC84",0.173510304108225
"PC85",0.173100036197684
"PC86",0.171531360772647
"PC87",0.167828296002428
"PC88",0.16519371993102
"PC89",0.16279616186421
"PC90",0.160859290313621
"PC91",0.15824508006286
"PC92",0.15621904398811
"PC93",0.153670272303076
"PC94",0.149724077607972
"PC95",0.147697116203577
"PC96",0.146412505565693
"PC97",0.144736157486075
"PC98",0.139809380119932
"PC99",0.138969017330121
"PC100",0.13722636568153
"PC101",0.134630268381243
"PC102",0.133501850429927
"PC103",0.131466977182863
"PC104",0.130583157310213
"PC105",0.127792811876975
"PC106",0.125941366057389
"PC107",0.12413685215968
"PC108",0.122698709926169
"PC109",0.120312234725291
"PC110",0.117917734397882
"PC111",0.116062324512607
"PC112",0.114093380478719
"PC113",0.112349511956716
"PC114",0.110369349973238
"PC115",0.109491619363753
"PC116",0.107003489106133
"PC117",0.105784876125871
"PC118",0.104103019494115
"PC119",0.101500639057154
"PC120",0.101114547413241
"PC121",0.098815028736819
"PC122",0.097118171899005
"PC123",0.0965294888707287
"PC124",0.0954835595760754
"PC125",0.0934075936907717
"PC126",0.0916512411832911
"PC127",0.0902839807420301
"PC128",0.089861660439398
"PC129",0.08692805026178
"PC130",0.0861043977133702
"PC131",0.0846622744311623
"PC132",0.083878886442534
"PC133",0.0827957907740701
"PC134",0.0791378811444499
"PC135",0.0783791768504447
"PC136",0.0777946841083095
"PC137",0.0761665062447126
"PC138",0.0735633025605454
"PC139",0.0719896876437941
"PC140",0.070136671062559
"PC141",0.0676770201392996
"PC142",0.0663607098487165
"PC143",0.0655688909790018
"PC144",0.0641664398980959
"PC145",0.0634352234718054
"PC146",0.0591293458846813
"PC147",0.0548739546422522
"PC148",0.0412152547132478
"PC149",4.1074591627874e-28
