"Protein","Missing_Percent"
"A1BG",0
"A1CF",0
"A2M",0
"A2ML1",19.4630872483221
"A4GALT",95.9731543624161
"A4GNT",94.6308724832215
"AAAS",0
"AACS",0
"AADAC",8.7248322147651
"AAGAB",0
"AAK1",0
"AAMDC",0
"AAMP",0
"AAR2",0
"AARS1",0
"AARS2",0
"AARSD1",41.6107382550336
"AASDHPPT",0
"AASS",0
"AATF",8.05369127516778
"AATK",75.1677852348993
"ABAT",0
"ABCA1",23.489932885906
"ABCA2",81.8791946308725
"ABCA6",14.7651006711409
"ABCA8",0
"ABCA9",83.2214765100671
"ABCB1",4.02684563758389
"ABCB10",0
"ABCB6",0
"ABCB7",0
"ABCB8",2.01342281879195
"ABCC1",0
"ABCC10",42.2818791946309
"ABCC11",78.5234899328859
"ABCC2",73.8255033557047
"ABCC3",0
"ABCC4",5.36912751677852
"ABCC5",95.9731543624161
"ABCC8",84.5637583892617
"ABCC9",83.2214765100671
"ABCD1",0
"ABCD3",0
"ABCD4",48.3221476510067
"ABCE1",0
"ABCF1",0
"ABCF3",0
"ABCG1",26.1744966442953
"ABCG2",69.7986577181208
"ABHD10",0
"ABHD11",0
"ABHD12",0
"ABHD13",51.006711409396
"ABHD14B",0
"ABHD16A",0
"ABHD17A",83.8926174496644
"ABHD17B",38.255033557047
"ABHD17C",3.35570469798658
"ABHD18",91.9463087248322
"ABHD2",29.5302013422819
"ABHD3",56.3758389261745
"ABHD4",34.2281879194631
"ABHD5",41.6107382550336
"ABHD6",0
"ABI1",0
"ABI2",0
"ABI3",0
"ABI3BP",0
"ABITRAM",26.8456375838926
"ABL1",0
"ABL2",0
"ABLIM1",0
"ABLIM2",0
"ABLIM3",11.4093959731544
"ABO",63.0872483221477
"ABR",0
"ABRACL",1.34228187919463
"ABRAXAS1",0
"ABRAXAS2",0
"ABT1",13.4228187919463
"ABTB1",61.744966442953
"ABTB2",31.5436241610738
"AC007906.2",93.9597315436242
"AC011005.1",85.2348993288591
"AC011195.3",95.9731543624161
"AC073111.4",52.3489932885906
"AC099489.1",62.4161073825503
"AC118549.1",44.2953020134228
"ACAA1",0
"ACAA2",0
"ACACA",0
"ACACB",10.0671140939597
"ACAD10",0
