"Protein","Missing_Rate_Percent","Missingness_Threshold_Percent","Status"
"APEX2",97.9865771812081,50,"Temporarily_Excluded_High_Missingness"
"C16orf74",97.9865771812081,50,"Temporarily_Excluded_High_Missingness"
"C16orf89",97.9865771812081,50,"Temporarily_Excluded_High_Missingness"
"CCNE2",97.9865771812081,50,"Temporarily_Excluded_High_Missingness"
"CTNNA3",97.9865771812081,50,"Temporarily_Excluded_High_Missingness"
"RHOJ",97.9865771812081,50,"Temporarily_Excluded_High_Missingness"
"RNF103",97.9865771812081,50,"Temporarily_Excluded_High_Missingness"
"SETDB2",97.9865771812081,50,"Temporarily_Excluded_High_Missingness"
"SLC22A5",97.9865771812081,50,"Temporarily_Excluded_High_Missingness"
"SPIN3",97.9865771812081,50,"Temporarily_Excluded_High_Missingness"
"STOML3",97.9865771812081,50,"Temporarily_Excluded_High_Missingness"
"TRIM66",97.9865771812081,50,"Temporarily_Excluded_High_Missingness"
"ANGPT1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"ANKRD36",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"ANXA5",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"APCDD1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"APOL4",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"AREL1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"ATP8B2",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"BCL2L12",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"BLK",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"C22orf39",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"CADM2",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"CASD1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"CBWD2",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"CD200R1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"CD68",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"CD83",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"CGRRF1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"CORO6",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"CRY1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"CSF2RA",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"CXCL9",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"CXorf21",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"DBNDD1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"DGKG",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"DKK4",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"DMGDH",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"DMWD",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"EDARADD",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"EEF1AKMT4",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"ENDOV",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"FAM234B",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"FANCA",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"FBXL7",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"FDXACB1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"FOXP3",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"GATC",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"GIMAP1.GIMAP5",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"GPR137B",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"GTF2IRD2",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"HAND2",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"HPN",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"ID2",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"IFNAR1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"IGLV5.37",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"IMMP1L",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"KCTD7",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"KIF18A",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"LAG3",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"LANCL3",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"LIF",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"LRATD1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"LRRC4B",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"LST1",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"MAPKAPK5",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"MGARP",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
"MLXIPL",96.6442953020134,50,"Temporarily_Excluded_High_Missingness"
